locus,E1,E2,Fnull
Mon16,0,0,0.0295
Mon17,0,0,0.0034
Mon19,0,0,0.002
Mon25,0,0,0.0379
Mon29,0,0,0.0518
Mon31,0,0,-0.0252
Mon32,0,0,0.0074
Mon35,0,0,-0.0029
Mon36,0,0,0.0131
Mon38,0,0,-0.0258
Mon41,0,0,-0.0044
Mon42,0,0,0.0192
Mon49,0,0,0.002
Mon65,0,0,-0.0008
Mon66,0,0,0.0524
Mon67,0,0,-0.0217
Mon68,0,0,0.0493
Mon69,0.0078125,0,0.0163
mon70,0,0,0.0274
Mon9,0,0,0.0383
FS15,0.019186047,0.001744186,-0.0375
FS44,0,0.001781473,-0.0057
FS46,0.02611465,0.001273885,-0.0631
FS50,0,0,0.013
FS41,0.055555556,0,0.0887
FS48,0.125,0,0.0443
Hic2.52,0.010348584,0.003812636,0.0209
Hic4.30,0.014423077,0.001602564,0.0536
Hic1.95,0,0,-0.0095
ss11-12,0.010638298,0,0.0637
ss7-1,0,0,0.0504
ss10-4,0.005952381,0,0.0519
ss13-8,0,0,0.0028
mm5-1,0,0,0.0181
mm10-7,0,0,0.0201
TGN,0.018292683,0.006097561,0.0264
a248,0.005681818,0,0.0287
m53,0.011111111,0,0.0084
a226,0.005555556,0,0.0327
aht130,0,0,-0.0146
hj35,0.005952381,0.005952381,0.0411
ag6,0.005813953,0,0.0235
ag8,0.00625,0,0.0222
