"date","daten","pack","indiv","sex","agecategory","status","stend","code","exact","lseen","cause","litter"
2014-07-25,41845,"2","TM375","M","PUP","DEP","START","BORN","N","23/07/2014","","T1404"
2015-12-16,42354,"1B","BP730","P","","","START","BORN","Y","","","B1505"
2015-07-01,42186,"4B","FF209","F","AD","MULTI","","BIRTH","Y","","","F1503"
2014-12-22,41995,"19","X1404","","","","","BORN","N","15/12/2014","","X1404"
2014-12-16,41989,"2","TP405","P","PUP","DEP","END","DIED","Y","","ICIDE","T1406"
2014-09-17,41899,"1H","HF248","F","AD","MULTI","","FPREG","Y","","","H1404"
2014-06-21,41811,"17","S1403","","","","","EMERGE","Y","","","S1403"
2015-05-04,42128,"1B","B1502","","","","","BORN","N","02/05/2015","","B1502"
2014-10-25,41937,"7A","G1406","","","","","EMERGE","N","","","G1406"
2015-02-21,42056,"1B","BF680","F","PUP","DEP","START","BORN","Y","","","B1501"
2004-03-10,38056,"7A","GF014","F","SUB","","START","FSEEN","Y","","",""
2015-05-11,42135,"1B","BM693","M","PUP","DEP","START","BORN","Y","","","B1502"
2015-05-19,42143,"7A","GF100","F","AD","MULTI","","BIRTH","Y","","","G1502"
2015-10-28,42305,"1HA","HF260","F","AD","","RESTART","IMM","Y","","","H1303"
2015-03-09,42072,"19","XM003","M","AD","","END","ADIED","N","27/02/2015","",""
2005-08-16,38580,"11","DM040","M","","","","STEV","Y","","EVICTED",""
2016-05-15,42505,"1B","BP761","P","PUP","DEP","END","ADIED","N","","APRED","B1602"
1997-11-30,35764,"2","1Q","F","","","","BIRTH","Y","","","T02"
1998-10-13,36081,"5B","UM PUP","P","","","END","ADIED","N","","","5B-01"
1998-10-13,36081,"5B","UM PUP","P","","","END","ADIED","N","","","5B-01"
1998-10-13,36081,"4","76","M","","","STOP","EM","N","","",""
1998-10-13,36081,"4","G7","F","","","STOP","EM","N","","",""
1998-10-13,36081,"5B","C4","M","","","","STEV","Y","","","5-01"
1998-10-13,36081,"4A","C4","M","","FOUNDER","RESTART","IMM","N","","5B","5-01"
1998-10-13,36081,"4A","76","M","","FOUNDER","RESTART","IMM","N","","4",""
1998-10-13,36081,"4A","G7","F","","FOUNDER","RESTART","IMM","N","","4","4-03"
1998-10-13,36081,"4A","","","","","","NGRP","N","","",""
1998-10-18,36086,"7","7-06B","","","","","BORN","N","15/10/1998","","7-06"
1998-10-18,36086,"5B","J5","M","","","END","ADIED","N","14/10/1998","","5-03"
1998-10-18,36086,"7","2Q","F","","","","BIRTH","N","15/10/1998","","7-06"
1998-10-19,36087,"7","P1","F","","","START","BORN","Y","","","7-06"
1998-10-19,36087,"7","P2","M","","","START","BORN","Y","","","7-06"
1998-10-19,36087,"7","Q1","M","","","START","BORN","Y","","","7-06"
1998-10-19,36087,"7","R3","M","","","START","BORN","Y","","","7-06"
1998-10-21,36089,"4B","F01","","","","","BORN","Y","","","F01"
1998-10-21,36089,"4A","C4","M","","","END","LSEEN","N","19/10/1998","","5-01"
