DATE,PACK,INDIV,SEX,AGE CAT,STATUS,START/END,CODE,EXACT,LSEEN,CAUSE,LITTER,PREV NAME,COMMENT,EDITED,ID,date_entered,Latitude,Longitude,s_ColLineage,s_Generation,s_GUID,s_Lineage
25/07/2014,2,TM375,M,PUP,DEP,START,BORN,N,23/07/2014,,T1404,,,,-1812854766,09/09/2014,,,,1,{6DD66FDB-254E-4A7D-8E29-397727BA48B9},
16/12/2015,1B,BP730,P,,,START,BORN,Y,,,B1505,,,,-1810684248,07/02/2016,,,,1,{E9D21515-547C-40E3-930A-6631ECD70A45},
01/07/2015,4B,FF209,F,AD,MULTI,,BIRTH,Y,,,F1503,,,,-1805036008,18/07/2015,,,,1,{19CCB6E6-1912-4024-A45F-C4AE2D33A973},
22/12/2014,19,X1404,,,,,BORN,N,15/12/2014,,X1404,,,,-1803729095,04/02/2015,,,,1,{DB01CD0A-06FD-4241-B9C2-40598CA2E062},
16/12/2014,2,TP405,P,PUP,DEP,END,DIED,Y,,ICIDE,T1406,,INFANTCIDED,,-1794872062,06/01/2015,,,,1,{A5615358-F61F-42CA-BED8-79278F7ACA4E},
17/09/2014,1H,HF248,F,AD,MULTI,,FPREG,Y,,,H1404,,CAPTURE,,-1793702873,17/10/2014,,,,1,{72F9A233-15AC-4C05-9DAB-4292F7A417C9},
21/06/2014,17,S1403,,,,,EMERGE,Y,,,S1403,,,,-1793357831,13/07/2014,,,,1,{1266C700-3D35-4DC3-A69E-8210DCEB5B04},
04/05/2015,1B,B1502,,,,,BORN,N,02/05/2015,,B1502,,,,-1792690405,08/05/2015,,,,1,{B16C97A0-A206-4AB9-8109-B7192FA65D76},
25/10/2014,7A,G1406,,,,,EMERGE,N,,,G1406,,PUPS COULD HAVE EMERGED EARLIER THAN THIS DATE.,,-1788154028,08/01/2015,,,,1,{73325792-26D4-43B4-B10B-1B2ACC26C0FF},
21/02/2015,1B,BF680,F,PUP,DEP,START,BORN,Y,,,B1501,,,,-1787176546,11/04/2015,,,,1,{074DED2C-8572-4A2A-BD97-66F44059F203},
10/03/2004,7A,GF014,F,SUB,,START,FSEEN,Y,,,,,"POSS. ""DIED""; WAS VERY WEAK.",JS - START LINE ADDED MATCHING FIRST CAPTURE RECORD,-1786260279,,,,,1,{AF7E30D7-87F6-40F4-9C17-5CC7281816B5},
